781
242
17
1 49 98 147 196 246 291 342 390 439 486 534 582 631 679 728 777 
2 50 99 148 197 247 295 343 391 440 487 535 583 632 680 729 777 
3 51 100 149 198 248 296 344 392 441 488 536 584 632 681 730 778 
4 52 101 150 199 249 288 345 393 442 489 534 585 633 682 731 779 
5 53 102 151 200 250 297 346 394 443 490 537 586 634 683 732 780 
6 54 103 152 201 251 298 344 395 444 491 538 587 635 684 733 781 
7 55 104 153 202 252 299 347 396 443 492 539 588 636 685 734 0 
8 56 105 154 203 253 300 348 397 445 493 540 589 631 686 729 0 
7 57 106 155 204 254 278 349 397 446 494 538 590 637 687 735 0 
1 58 107 156 205 245 296 350 398 447 495 541 591 638 688 733 0 
9 59 108 155 206 255 301 351 399 448 486 542 583 639 689 736 0 
10 60 109 157 207 256 302 335 397 449 496 537 592 640 690 737 778 
11 61 110 158 205 257 303 352 400 450 497 533 587 641 691 738 0 
12 62 111 159 190 258 296 339 401 444 498 543 593 642 692 738 0 
5 63 104 160 208 247 302 353 395 451 486 544 594 643 693 739 0 
10 64 112 158 209 259 304 354 402 439 499 545 595 644 694 726 0 
13 65 113 161 210 251 305 355 403 440 500 543 596 645 691 735 0 
14 65 114 162 211 260 262 356 404 452 501 546 597 646 679 740 0 
15 66 112 163 210 261 306 343 405 441 502 547 598 647 695 741 0 
16 67 115 154 199 262 302 357 406 453 503 548 599 630 692 727 0 
17 68 116 161 212 263 307 352 407 454 502 549 600 648 689 742 0 
17 69 105 153 213 256 308 358 408 455 498 550 601 635 696 743 0 
15 67 117 164 214 264 309 349 398 456 504 551 602 649 683 744 777 
18 70 118 165 199 264 298 359 401 457 505 552 603 650 697 745 0 
17 71 101 166 215 245 303 360 409 449 506 547 584 651 698 746 777 
14 50 119 147 216 265 310 345 410 457 499 547 604 652 687 747 0 
19 54 120 148 206 260 308 361 411 458 493 553 605 653 699 732 0 
20 72 121 167 217 266 311 362 408 459 507 554 606 634 700 736 0 
21 73 122 159 203 241 312 363 405 460 495 552 607 654 701 748 0 
22 74 120 168 203 267 313 359 410 440 508 555 608 633 702 749 0 
23 75 109 169 198 268 314 354 398 461 509 556 582 655 703 750 0 
22 76 123 146 218 269 315 350 407 462 510 557 609 653 704 736 0 
24 65 124 170 219 270 316 346 412 463 511 558 610 642 688 751 0 
25 77 120 162 209 271 317 343 413 464 500 559 591 656 705 752 0 
24 74 115 156 220 272 318 341 414 465 506 560 611 646 706 753 0 
26 78 125 150 221 264 318 364 415 466 512 561 594 635 707 754 0 
27 79 118 171 222 265 319 365 395 467 513 542 584 649 700 749 0 
20 80 113 172 223 243 315 366 416 468 514 562 598 655 702 738 779 
11 81 108 168 224 247 320 367 415 467 492 558 612 653 698 755 776 
28 70 126 147 225 273 319 368 400 456 515 558 591 657 690 739 0 
21 58 103 173 226 274 299 348 404 469 516 563 602 656 708 730 0 
29 52 120 153 227 272 304 346 417 470 517 564 613 637 704 733 0 
10 49 127 148 220 275 303 366 407 471 491 550 613 658 682 735 0 
6 82 104 168 228 258 306 369 418 472 487 546 582 659 709 756 0 
11 51 106 174 214 276 317 370 419 473 518 552 605 660 710 753 0 
9 82 102 175 229 277 299 362 414 474 511 553 599 661 711 739 0 
30 56 98 152 208 278 321 371 400 430 501 553 609 639 701 752 0 
31 83 128 163 228 272 322 372 407 444 509 548 605 654 691 757 777 
16 68 106 176 209 272 274 356 418 456 492 547 607 662 680 758 0 
11 62 127 154 230 279 318 373 394 475 519 565 604 648 705 759 0 
32 75 129 158 206 265 318 369 420 463 515 543 613 663 679 730 779 
33 84 130 177 224 280 323 364 406 474 506 566 590 664 709 730 0 
34 75 131 176 223 281 324 374 419 470 491 539 611 654 708 760 774 
31 85 132 178 231 247 315 351 421 455 516 552 614 665 712 749 0 
35 66 115 152 232 250 325 375 422 469 520 567 615 664 713 754 0 
